CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,SAAM,SST,TURBIEDAD,TEMP_AMB,PROFUNDIDAD,CAUDAL,DUR_TOT,TEMP_AGUA,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L
,24196,24196,24196,2.7382,2.0045,5.89,36.12,121.8,231.8,21.940374,0.0044,0.0209,5.160726,27.1264,27.1011,3.339,1.3918,125,,0.434,601.6,6.28,76.67,36,34,,1345.6,156.98,31.8,940,7.4,10,1
,24196,24196,24196,26.332,21.342,21.03,21.03,110.38,147.62,24.866028,0.003402,0.072034,4.31633,29.257794,29.182358,3.482239,1.68489,75,,0.328,635.52,4.11,70,30,38,,1127.7,159.38,33.3,993,7.4,10,1
,24196,24196,,6.575,5.1519,,,,,0.405481,0.509105,,0,,0.405481,0.542565,0.436401,30,,0.13094,657.28,,34,23,38,,140.5,273.34,32.9,1027,8.1,57.3,3.98
,241960,241960,241960,50.596,31.261,79.49,117.96,92.52,394.73,29.098322,0.005196,0.052281,3.025408,32.181207,32.12373,4.591093,2.488217,75,,0.31767,617.6,4.832,80,200,30,,3824,165.89,26.2,965,7.4,10,1
,241960,241960,241960,12.6328,4.3406,38.75,106.98,87.78,236.47,30.711693,0.002812,0.044898,3.147999,33.907402,33.859692,5.29664,2.979954,80,,0.31835,573.44,3.883,124,38,33,,4569,177.34,28.2,896,7.6,10,1
,2419600,2419600,2419600,66.918,41.968,75.99,143,112.92,258.7,39.583599,0.004681,0.171176,0.074272,39.833728,39.657871,5.191041,3.483165,90,,0.38625,630.4,7.345,90,30,32,,3346,166.91,30.9,985,7.5,10,1
,24196,24196,24196,10.9054,9.8736,2,15.77,99.42,231.02,31.079334,0.00438,0.009294,3.103894,34.196902,34.183228,4.533333,2.971041,100,,0.31354,673.28,7.675,71.43,24,33,,3236,181.48,31.2,1052,7.4,10,1
,24196,24196,24196,27.188,14.38,27.3,139.48,29.4,220.49,29.866316,0.01418,0.010045,5.302519,35.19306,35.168835,4.464686,2.458776,70,,0.35875,778.24,3.81,90,38,32,,2400,217.63,31.4,1216,7.4,10,1
,241960,241960,241960,5.4515,5.4515,31.89,174.44,51.93,204.19,29.848927,0.007789,0.032357,1.844102,31.733175,31.693029,4.73266,3.023629,90,,0.31982,700.16,3.478,92,20,36,,1516,206.38,31.6,1094,7.8,10,1
,2419600,2419600,2419600,12.549,12.549,30.26,143.99,42.19,391.3,32.58129,0.00474,0.01863,5.11394,37.7186,37.69523,5.20343,2.36501,75,,0.213,577.92,2.738,86.67,31,32,,1761,163.91,25.7,903,7.5,10,1
,24196,24196,24196,16.625,16.625,45.4,193.43,102.93,339.41,42.98005,0.00804,0.04523,3.689,46.72232,46.66905,6.57158,4.31857,125,,0.857,641.28,5.971,100,60,29,,1437,155.6,27.2,1002,7.6,10,1
